Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Validation Loss,Validation Accuracy
1,1.5071806873460791,0.43422982885085576,1.2778783055643241,0.5226605803716987,1.2788020928079884,0.5249429409846755
2,1.255538362256862,0.5471067644661777,1.0611552996560931,0.626018910987936,1.063819929646949,0.6273231170524943
3,1.0803026586110465,0.6235533822330889,0.9072383469901979,0.6759047929572872,0.9079105341807008,0.6772089990218455
4,0.9609993261806036,0.6650366748166259,0.812308800018703,0.7124225627649169,0.8138255899151167,0.7114444082164982
5,0.8788842242963932,0.6942950285248574,0.770235373871401,0.7391587870883599,0.7666610376909375,0.7391587870883599
6,0.8115814207352435,0.7228198859005704,0.7406474008069684,0.7443756113465928,0.7371784885569165,0.7508966416693837
7,0.7639734151893365,0.7372453137734312,0.6999883348277459,0.7554613628953375,0.7050113001217445,0.7538311053146397
8,0.6917752134170495,0.7604726976365118,0.6843200746613244,0.7655689598956635,0.695486351614818,0.765895011411803
9,0.6539268561261263,0.7779951100244499,0.7129475240750859,0.7522008477339419,0.7116828403280427,0.7574176719921748
10,0.6048628497757066,0.7960065199674001,0.6760358380852267,0.7720899902184545,0.676384007713447,0.7619823932181284
11,0.5863691813408396,0.7996740016299918,0.6649058641244968,0.7577437235083143,0.6588266437562803,0.7580697750244538
12,0.5319689880701989,0.8165444172779136,0.6803589997968326,0.7746984023475709,0.6807984781917185,0.7760026084121291
13,0.48730725706633876,0.8378158109209454,0.6968933967097352,0.7665471144440822,0.6778495846083388,0.7639387023149657
14,0.45130443182498253,0.8444987775061125,0.6604752900311723,0.7838278447994783,0.6617189706109153,0.7864362569285948
15,0.409685079770884,0.8601466992665037,0.6365654090186581,0.7923051842191067,0.6440504050115123,0.7861102054124551
16,0.37802126813762504,0.8722086389568052,0.7371511659002863,0.7763286599282687,0.7442471485507364,0.7779589175089664
17,0.36895750157505935,0.8763651181744091,0.7115189081135517,0.7870883599608738,0.7199955655572315,0.7815454841865015
18,0.3456231491079231,0.8841890790546048,0.6813766497264927,0.7795891750896642,0.6823240110340217,0.7821975872187805
19,0.30845017840714234,0.8982070089649552,0.7452169730483243,0.7760026084121291,0.7416212851336846,0.7799152266058037
20,0.28204326580899053,0.9066829665851671,0.7622765276076583,0.7815454841865015,0.7736456397299966,0.7825236387349201
21,0.2594529971749931,0.9138549307253464,0.7260690568558251,0.794913596348223,0.7316122314853905,0.7945875448320835
22,0.2498578252513666,0.9156479217603912,0.7648275104778198,0.791979132702967,0.7484450923996823,0.7864362569285948
23,0.2246998416264742,0.9268948655256724,0.7458868342412946,0.7851320508640365,0.7569625512308752,0.7861102054124551
24,0.20876957791720213,0.9317033414832926,0.8295136744466921,0.7733941962830128,0.8350015712688522,0.7753505053798501
25,0.1897368077030879,0.9350448247758761,0.8054274505508753,0.7828496902510597,0.8130199064811071,0.7821975872187805
26,0.17981953998648767,0.9406682966585167,0.8095495013694745,0.7910009781545484,0.8098305991540352,0.7936093902836648
27,0.1740295618848093,0.943276283618582,0.7785415744874626,0.7854581023801761,0.7784352415474132,0.7870883599608738
28,0.15711565017202356,0.9480847595762021,0.8710568427341059,0.7870883599608738,0.8944528317078948,0.7864362569285948
29,0.15116592840233276,0.9510187449062755,0.932868425200771,0.7743723508314314,0.9093272583462143,0.7812194326703619
30,0.1349999234396017,0.9569682151589242,0.8658262907313959,0.7932833387675252,0.8492168596712872,0.7962178024127812
31,0.1315425553388233,0.9580277098614507,0.8333633637521416,0.7929572872513857,0.8357725909833486,0.7893707205738507
32,0.11385161632133436,0.9612876935615322,0.8695516868465347,0.8033909357678514,0.8810703807199994,0.797848059993479
33,0.12626568053944967,0.9572942135289324,0.8153022608991402,0.8014346266710141,0.8381487716881869,0.7910009781545484
34,0.10806547951638076,0.9647921760391198,0.8651873429383462,0.7952396478643625,0.8403152961982414,0.8014346266710141
35,0.10154415062069225,0.9664221678891606,0.9800154191131393,0.7760026084121291,0.9793324715671284,0.7743723508314314
36,0.10196387076175455,0.9679706601466993,0.8125231769129945,0.7985001630257581,0.8259848856832832,0.7985001630257581
37,0.0884403264289813,0.971638141809291,0.8849982537406808,0.7942614933159439,0.8906948124058545,0.794913596348223
38,0.08777634572796889,0.9722086389568052,0.9515963230708925,0.7887186175415716,0.9171486396347367,0.7857841538963156
39,0.07939412150023696,0.9742461287693561,1.0524491707522732,0.7756765568959896,1.0498931695862364,0.7815454841865015
40,0.08298090101768246,0.9724531377343113,0.8999735320964343,0.781871535702641,0.8888393404195085,0.7867623084447343
41,0.07739240413459869,0.9742461287693561,0.9228855193068739,0.8011085751548744,0.9223209967603907,0.8017606781871536
42,0.07257628410599574,0.9766911165444173,0.922225398758504,0.7945875448320835,0.9401938355683038,0.7900228236061297
43,0.06540884288898949,0.9799511002444988,0.9985611933128288,0.791327029670688,1.0263449820777168,0.784805999347897
44,0.06809203795820197,0.9790546047269764,1.0206836737537135,0.7792631235735246,1.015800242506278,0.7831757417671992
45,0.06526967796473976,0.9792176039119804,0.9544425747202089,0.7952396478643625,0.9642016510964216,0.7942614933159439
46,0.06642551562385943,0.9792176039119804,0.8996735130009862,0.7971959569611998,0.9107440324902806,0.7965438539289208
47,0.06791960486611051,0.9796251018744906,0.9258064372115768,0.7923051842191067,0.8985142312570437,0.7988262145418976
48,0.05096685263222426,0.9842705786471068,0.9207442001546345,0.7991522660580371,0.9009052983601578,0.8040430388001304
49,0.052600770598235556,0.9837815810920946,0.9850470071348051,0.7861102054124551,0.9872725846920124,0.7825236387349201
