Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.69065556426843,1.588123865115146,1.590761153337856,0.3663406682966585,0.3863710466253668,0.3863710466253668
2,1.4400119831164677,1.4221799472967784,1.424560432632764,0.4397718011409943,0.4792957287251386,0.4822301923703945
3,1.3127316143363714,1.2726396185656388,1.2697243994722764,0.5158109209453953,0.5418976198239321,0.5418976198239321
4,1.2370927256221573,1.251024785451591,1.2494923976870875,0.5387938060309698,0.5539615259210955,0.5523312683403978
5,1.1422817877804239,1.0982470178666215,1.0972479600459337,0.5876935615321923,0.6305836322138898,0.6292794261493316
6,1.0276645465443532,0.9500606718162695,0.9365365530053774,0.6423797881010594,0.6746005868927291,0.6739484838604499
7,0.9338100189343095,0.856372572404022,0.8449767536173264,0.6821515892420538,0.7023149657645908,0.7032931203130095
8,0.8800330969194571,0.8318138098499427,0.8288384876213968,0.6971475142624287,0.707205738506684,0.7045973263775677
9,0.8234446332789958,0.8383825644850731,0.842397492689391,0.7220048899755501,0.7235083143136616,0.723182262797522
10,0.7630282924510539,0.7641114968185624,0.7597893914207816,0.7354523227383863,0.7313335507010108,0.7368764264753831
11,0.7126972630309562,0.763951731302465,0.7672457527369261,0.754360228198859,0.7417671992174764,0.739810890120639
12,0.6655196771025658,0.7276625021671256,0.7378101486247033,0.7691931540342298,0.7613302901858494,0.7551353113791979
13,0.6197546725161374,0.7450704103102908,0.7243345076373467,0.7881825590872046,0.7420932507336159,0.7479621780241278
14,0.5849328471037248,0.7593204699999964,0.75327994604595,0.7972290138549307,0.7499184871209651,0.7548092598630584
15,0.5458514414106806,0.7111781275986383,0.7289296095259488,0.8171964140179299,0.7603521356374308,0.7548092598630584
16,0.5078728368195394,0.6812634100982299,0.689454486205553,0.8258353708231458,0.7704597326377568,0.7711118356700358
17,0.46601570933125913,0.7165377249475569,0.7239357727812603,0.8402607986960066,0.7727420932507336,0.7727420932507336
18,0.4426370971680929,0.7774656283048292,0.7580646879505366,0.850122249388753,0.7561134659276165,0.7551353113791979
19,0.40456452608729404,0.7354306878599649,0.7438940497037644,0.8595762021189894,0.7766547114444082,0.7792631235735246
20,0.3768510986119509,0.8142900418606587,0.8070661568587335,0.871556642216789,0.7675252689925008,0.7691555265731985
21,0.34329361096024513,0.7369167357295131,0.7312835001697143,0.8841890790546048,0.7831757417671992,0.7786110205412455
22,0.3177702076888333,0.7365230400658523,0.7422570531101277,0.8951100244498778,0.7942614933159439,0.7880665145092924
23,0.2959152872984608,0.8238518496509641,0.809581994273079,0.9013039934800327,0.7815454841865015,0.7776328659928269
24,0.2848518623892839,0.7597334169161817,0.787634891011597,0.9060309698451507,0.7795891750896642,0.7753505053798501
25,0.2535770055449878,0.8987224373073938,0.8966674492839957,0.9166259168704156,0.768829475057059,0.7671992174763612
26,0.23534217505948618,0.8688637046725489,0.8635711784202916,0.9231458842705786,0.781871535702641,0.7805673296380828
27,0.2070233581083206,0.8879804225677314,0.8675591071757177,0.9323553382233088,0.7574176719921748,0.7639387023149657
28,0.21119629607225457,0.8808588875690475,0.8728731995021614,0.9311328443357784,0.7685034235409195,0.7698076296054777
29,0.18639328820669712,0.8631282447798488,0.8774003000192655,0.9400162999185004,0.7743723508314314,0.7763286599282687
30,0.1643732699449174,0.892008175161512,0.9319797605761172,0.9450692746536268,0.7737202477991523,0.7675252689925008
31,0.14941116031453325,0.9616984407572696,0.9534291593299713,0.9487367563162185,0.7675252689925008,0.7740462993152918
32,0.1497308014659211,0.8715151808573864,0.9023713541585797,0.9524857375713122,0.7877404629931529,0.7857841538963156
33,0.13646426144987345,0.9199824374906408,0.9270450297432641,0.9547677261613692,0.7815454841865015,0.7812194326703619
34,0.12811084969628914,0.9720154797056845,0.9730292178962069,0.9582722086389568,0.781871535702641,0.7795891750896642
35,0.125557958521919,1.0310693312785588,1.0257251886311376,0.958679706601467,0.7763286599282687,0.7779589175089664
36,0.11196120049377593,0.9789290289045312,0.9725923332540939,0.962999185004075,0.778937072057385,0.7792631235735246
37,0.10268814228281069,1.0186243985275116,0.9973554656996081,0.965362673186634,0.7815454841865015,0.7815454841865015
38,0.09870194255199749,1.0052372904416795,0.9924287246637201,0.9660146699266504,0.7867623084447343,0.7779589175089664
