Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy:,Validation Loss,Validation Accuracy
1,1.2963447573520681,0.5342298288508558,1.0215299595147371,0.6217802412781219,1.0216060606762767,0.6266710140202152
2,0.9294063504081039,0.6730236348818256,0.8275607181712985,0.7130746657971959,0.8335813057298461,0.7081838930551027
3,0.7759194702220864,0.7231458842705787,0.853188774548471,0.7081838930551027,0.8434556775415937,0.7134007173133355
4,0.657491231621322,0.7684596577017115,0.7895035380497575,0.7274209325073362,0.7783763644983992,0.7261167264427779
5,0.5713319855182392,0.7976365118174409,0.7604855890385807,0.7319856537332898,0.7587717981853833,0.7358982719269644
6,0.4676859969809904,0.8371638141809291,0.7154729576626172,0.7476361265079883,0.7188126053661108,0.7476361265079883
7,0.41202882113909006,0.8559087204563978,0.7427587654674426,0.7505705901532442,0.755155406310223,0.7508966416693837
8,0.3487019009689037,0.8786471067644662,0.8000214639663076,0.7502445386371046,0.8029220656026155,0.752852950766221
9,0.27284419189074904,0.9038304808475958,0.8315483531332575,0.7538311053146397,0.8332598310565421,0.7473100749918488
Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Validation Loss,Validation Accuracy
1,1.2831741797955127,0.5307253463732682,0.9573283103915552,0.6706879686990544,0.9604691080749035,0.6664492989892403
2,0.9199509347899485,0.6701711491442542,0.8530075680464506,0.6928594717965438,0.85099993335704,0.6957939354417998
3,0.7640191184495232,0.7324368378158109,0.7867313852378478,0.7378545810238017,0.793012773230051,0.7313335507010108
4,0.6479191647592393,0.767237163814181,0.7399290522250036,0.7407890446690577,0.738111444360887,0.7479621780241278
5,0.5569209869188466,0.8019559902200489,0.7440656630011896,0.7394848386044995,0.7447549381759018,0.7385066840560809
6,0.4807258515656383,0.8350448247758762,0.7028334827627987,0.7632865992826867,0.703813821154957,0.7597000326051516
7,0.39760999777870354,0.8642216788916055,0.8125603476849695,0.7257906749266384,0.8199578281103944,0.7235083143136616
8,0.34437658034041624,0.8801140994295028,0.7792870772148793,0.7561134659276165,0.7824459774031615,0.7570916204760352
9,0.28410105406388036,0.9005704971475142,0.7941390924000492,0.7574176719921748,0.7811626354620481,0.7603521356374308
10,0.24001604668805776,0.9166259168704156,0.8049334534831966,0.7593739810890121,0.799381977878511,0.7610042386697098
11,0.2002158287215633,0.9320293398533007,0.9026320378761739,0.7548092598630584,0.913786968041677,0.7495924356048256
12,0.18039992943192398,0.9401792991035045,0.9194882068162163,0.7535050537985002,0.9193459553644061,0.7515487447016629
13,0.13809739285746087,0.9525672371638142,0.9829272864153609,0.7610042386697098,0.98102925933199,0.7606781871535703
14,0.13359965181896144,0.9545232273838631,0.9367175779674047,0.7626344962504076,0.92126853344962,0.7678513205086404
15,0.1127183777683128,0.9616136919315403,1.0325716897301997,0.7613302901858494,1.0369060647984345,0.7642647538311054
16,0.08474177433394267,0.9713121434392828,0.9824355920039428,0.7737202477991523,1.0161687973328906,0.7671992174763612
17,0.08031106331340745,0.9725346373268133,1.0103126713074744,0.7619823932181284,1.013559411726116,0.765895011411803
18,0.07320055134575923,0.9740831295843521,1.2104772917421844,0.7476361265079883,1.2060745434913163,0.7482882295402674
19,0.06685306674256226,0.9770986145069275,1.107475068323159,0.7535050537985002,1.119728339224821,0.7531790022823606
20,0.06275119495952551,0.9793806030969845,1.053505268675508,0.7691555265731985,1.0657264559219282,0.7645908053472449
21,0.04961615314305626,0.9835370823145885,1.070994952848802,0.7704597326377568,1.077188471914269,0.771763938702315
22,0.04822281682570896,0.982722086389568,1.0979446322501947,0.7746984023475709,1.1038531140075065,0.7763286599282687
23,0.037476256987061154,0.9871230643846781,1.1791501530872968,0.7707857841538963,1.1668784795765532,0.765895011411803
24,0.03930285379186308,0.9872860635696822,1.2601855276540543,0.758721878056733,1.256135526384848,0.7538311053146397
25,0.038182929656466816,0.9871230643846781,1.1922299054567702,0.7645908053472449,1.182516147120623,0.7649168568633844
26,0.038093089340525216,0.9868785656071719,1.1526819633048337,0.7681773720247799,1.141040696684892,0.7668731659602217
27,0.025627465968491463,0.9921760391198045,1.193521743931342,0.7733941962830128,1.1623765146553826,0.7727420932507336
28,0.022947429098135033,0.9925835370823146,1.2894165800704893,0.7691555265731985,1.2736666726450494,0.7639387023149657
29,0.03311512763546707,0.989079054604727,1.201678348123096,0.7665471144440822,1.191037269444981,0.7711118356700358
30,0.026392756129664033,0.99119804400978,1.2347723018259178,0.771763938702315,1.2695210234766516,0.7675252689925008
31,0.028455695607963835,0.9910350448247759,1.168947405036306,0.7694815780893381,1.159173413994722,0.7724160417345941
32,0.020065401673225965,0.993561532192339,1.2361406196505413,0.7720899902184545,1.224000905744712,0.7750244538637104
33,0.018890345356145352,0.9932355338223309,1.2444029752326362,0.781871535702641,1.2203671969424856,0.7835017932833388
34,0.019109799978267693,0.9929095354523227,1.2441536320014468,0.7685034235409195,1.239684767400225,0.7685034235409195
35,0.012103664628910105,0.9960065199674002,1.2961313500224303,0.7668731659602217,1.2846459418457623,0.7668731659602217
36,0.014281184518196913,0.9951100244498777,1.246093443017647,0.7737202477991523,1.2574110274290433,0.7773068144766874
37,0.01693448780121764,0.9947025264873676,1.3079685152794507,0.7720899902184545,1.2918901777957217,0.7773068144766874
38,0.011258941153862306,0.9964140179299104,1.243393588402493,0.7776328659928269,1.263216814744131,0.7724160417345941
39,0.01092759210121827,0.9961695191524043,1.3107072122899506,0.768829475057059,1.294966495935417,0.7694815780893381
40,0.013062976564488836,0.9955990220048899,1.2858182888982508,0.7766547114444082,1.2609239280597346,0.778937072057385
41,0.016269151974922715,0.9949470252648737,1.2193418680011139,0.7854581023801761,1.248578575924815,0.7861102054124551
42,0.0069611765814797605,0.9982070089649552,1.3484000696683627,0.755787414411477,1.3808889309390604,0.7531790022823606
43,0.006753890982427073,0.9979625101874491,1.2576953962561674,0.7874144114770134,1.2582008400010334,0.781871535702641
44,0.005527622343866098,0.9980440097799511,1.3610508249633615,0.7750244538637104,1.3514129476388916,0.7766547114444082
45,0.011207947080347627,0.9966585167074165,1.2902858626912348,0.7828496902510597,1.311662685833653,0.7828496902510597
46,0.01038947150651009,0.9970660146699266,1.3032022248056212,0.7668731659602217,1.3425988421561972,0.7649168568633844
47,0.0036551073108674215,0.9991850040749797,1.2822438235525624,0.7831757417671992,1.2770455477681633,0.7802412781219432
48,0.0030229819551838015,0.9991850040749797,1.3065905629191548,0.7825236387349201,1.3448043065961315,0.7799152266058037
49,0.0024815804094171236,0.9995110024449878,1.2941135271588184,0.7867623084447343,1.3408908647397766,0.7890446690577111
50,0.003020110391636547,0.9992665036674817,1.2939827675969962,0.7874144114770134,1.3533804608832345,0.7815454841865015
51,0.005596961681771646,0.9982885085574572,1.3807345196061458,0.7792631235735246,1.3637412999717828,0.7779589175089664
52,0.004770818530339366,0.9987775061124694,1.3358124227282435,0.784805999347897,1.3597151700523682,0.781871535702641
53,0.0050520311108164725,0.9986145069274653,1.3805180142820366,0.781871535702641,1.4328433993505314,0.7799152266058037
54,0.015472691090817794,0.9947025264873676,1.3496578120005627,0.7743723508314314,1.3544936712132767,0.7701336811216172
55,0.011377223470498661,0.9968215158924205,1.3588133846545436,0.781871535702641,1.357077902704911,0.7854581023801761
56,0.015387979430234016,0.9947025264873676,1.3653275540539955,0.7626344962504076,1.3328182303139329,0.7668731659602217
57,0.015365358831142107,0.9951915240423798,1.319188268117917,0.7707857841538963,1.3015098540345207,0.7642647538311054
58,0.005640313013866967,0.9981255093724531,1.3787779845588375,0.7707857841538963,1.3449414840506506,0.7724160417345941
59,0.00802722679853311,0.9969030154849226,1.3455292597670148,0.7792631235735246,1.354293369355825,0.7861102054124551
60,0.013698377055775387,0.9946210268948655,1.418306076093965,0.7655689598956635,1.4132634562944684,0.7619823932181284
61,0.012217239713057203,0.9958435207823961,1.3367831303815667,0.7841538963156178,1.330756337565693,0.7812194326703619
