20250522155513
20250522155654
20250522155834
20250522160020
20250522160125
1	2
1	2
1	2
2025052216065920250522160854
20250522161002
20250522161152
1	0.795	0.7176	tensor(1.7620, device='cuda:0')
2	0.8664	0.781	tensor(1.1348, device='cuda:0')
3	0.8667	0.7879	tensor(0.9893, device='cuda:0')
4	0.8853	0.8286	tensor(0.8434, device='cuda:0')
20250529161740
1	0.8325	0.6967	tensor(1.5601, device='cuda:0')
2	0.825	0.7151	tensor(1.1040, device='cuda:0')
3	0.8647	0.7787	tensor(0.9361, device='cuda:0')
4	0.837	0.8047	tensor(0.9457, device='cuda:0')
20250529204900
1	0.8028	0.6862	tensor(1.8340, device='cuda:0')
